No of dam,WARMS Dam ID,Name of dam,Water management area,Quaternary Drainage Area,Latitude deg,Lat min,Lat sec,Longitude deg,Long min,Long sec,Town nearest,Distance from Town,Name of farm,Municipal District,Province code,Region Code,Completion date,Completion date raised,River or Watercourse,Wall type,Wall height,Crest Length (m),Spillway Type,Capacity (1000 cub m),Surface area (ha),Catchment area (sq km)),Purpose,Owner Name,Designer,Contractor,Registration date,Size,Hazard Potential,Category,Classification date,Sector,Date Last DSI,Number Last DSI,Target date
D201/66,,SHERIDAN DAM,6,D21F,28,31,19.7,28,6,31.6,FOURIESBURG,22,RESTAND VAN SHERIDAN 262,FOURIESBURG,FREE STATE,FREE STATE,0,,,EARTHFILL,9,0,OPEN CHANNEL,250,11,,IRRIGATION,SAFE TRADE 8,S.W. JACOBSZ,UNKNOWN,2/19/2016,Small,Significant,2,2/24/2000,A,,0,
D201/71,,BAMBOESHOEK DAM,6,D21F,28,26,13,28,14,56,FOURIESBURG,25,BAMBOESHOEK 75 PTN. 1,,FREE STATE,FREE STATE,0,,BRANDWATER TR,EARTHFILL,8,550,OPEN CHANNEL,300,8,,IRRIGATION,SBJ KINDERS TRUST,S.W. JACOBSZ,UNKNOWN,9/25/2002,Small,Low,1,10/22/2002,A,,0,
D201/74,,BRIGHT SIGHT,6,D22A,28,30,5,27,56,38,ROSENDAL,5,BRIGHT SIGHT 232,FICKSBURG,FREE STATE,FREE STATE,,,MEULSPRUIT,EARTHFILL,,,BYWASH,50,,,IRRIGATION,BERGPLAATS FARMING CC,UNKNOWN,UNKNOWN,3/16/2007,Small,Low,1,3/16/2007,A,,0,
D201/75,0,CORRIE 1834 DAM,6,D21D,28,32,51,28,28,52,CLARENS,7,CORRIE 1834,BETHLEHEM,FREE STATE,FREE STATE,,,LITTLE CALEDON TRB.,EARTHFILL,6,,,59,0,0,,LEMON & LAVENDER PROPERTY INVESTMENTS,,,4/1/2010,Small,Low,1,4/1/2010,A,,0,
D201/77,,PIETERSDAL DAM (previously C805/41),6,D21D,28,32,7.4,28,25,58.1,CLARENS,2,PIETERSDAL 1207,,FREE STATE,FREE STATE,1979,,LIT/KLN CALEDON RIVER TR.,EARTHFILL,7,104,INFORMATION NOT AVAILABLE,80,0,,IRRIGATION,MARTIN M.,OWNER,OWNER,3/14/1987,Small,Low,1,6/17/1994,A,,0,
D201/79,0,BOSCHHOEK DAM,6,D21F,28,34,18.3,28,2,54.5,FOURIESBURG,17,BOSCHHOEK 397,FOURIESBURG,FREE STATE,FREE STATE,,,SWARTSPRUIT,EARTHFILL,17,250,,890,0,0,IRRIGATION,RADIEN CC,,,1/21/2015,Medium,Significant,2,2/6/2015,A,,0,
D202/43,4208,JACKSON'SPRIDE DAM,6,D23C,29,16,31.9,27,2,38.9,TWEESPRUIT,12,JACKSON'S PRIDE 754,EXCELSIOR,FREE STATE,FREE STATE,1972,,LIT/KLN LIONS RIVER TR.,EARTHFILL,10,340,SIDE CHANNEL SPILLWAY,125,8,,IRRIGATION,HOLMES D.C.,I. TENNANT,P. BALDWIN,5/15/1989,Small,Low,1,3/14/1990,A,,0,
D202/44,,LAMBERTINA DAM,6,D22G,28,49,27.7,27,35,7.6,CLOCOLAN,13,BROODRUG 35,CLOCOLAN,FREE STATE,FREE STATE,1989,,MOPEDI RIVER TR.,EARTHFILL,6,250,OPEN CHANNEL,65,2,,IRRIGATION,BENDER C.T.,STATE - DWA,OWNER,5/11/1989,Small,Low,1,3/14/1990,A,,0,
D202/45,,CAMPRIDGE DAM,6,D23C,29,11,1,27,14,1,LADYBRAND,25,CAMP RIDGE 49,,FREE STATE,FREE STATE,1964,,LEEU RIVER,EARTHFILL,6,170,OPEN CHANNEL,200,15,,IRRIGATION,NEWTON P.C.,OWNER,OWNER,10/28/1986,Small,Low,1,3/3/1997,A,,0,
D202/46,173,CATHCARTDRIFT DAM,6,D22H,29,12,54,27,31,30,LADYBRAND,11,CATHCARTSDRIFT,LADYBRAND,FREE STATE,FREE STATE,1987,,CALEDON RIVER TR.,EARTHFILL,22,470,OGEE,1500,32,92,MUNICIPAL USE & INDUSTRIAL USE,MANTSOPA LOCAL MUNICIPALITY,NINHAM SHAND,SCHARRIGHULSEN EARTH MOVING(PTY)LTD,4/28/1987,Medium,Significant,2,5/3/1989,M,10/11/2011,3,
D202/48,,RANTSO DAM,6,D22D,28,54,10.7,27,43,6.1,FICKSBURG,20,RANTSO 763,FICKSBURG,FREE STATE,FREE STATE,1940,,RANTSO SPRUIT TR.,EARTHFILL,8,235,SIDE CHANNEL SPILLWAY,50,3,,IRRIGATION,STEVENS I.C.,UNKNOWN,UNKNOWN,11/6/1986,Small,Low,1,6/13/1994,A,,0,
D202/50,,WATERBRON DAM,6,D22G,28,45,49.5,27,36,38.6,LUCKHOFF,25,GRUISRAND 59,CLOCOLAN,FREE STATE,FREE STATE,1977,,MOPEDI RIVER TR.,EARTHFILL & ROCKFILL,11.9,300,OPEN CHANNEL,1633,45,,SOIL CONSERVATION,DALTON E.J.,OWNER,STATE (DWA),1/29/1987,Small,Low,1,2/25/1997,A,,0,
D202/51,,WINDHOEK DAM,6,D22G,28,51,1,27,31,1,CLOCOLAN,15,WINDHOEK 165,,FREE STATE,FREE STATE,1981,,MOPERI SPRUIT TR.,EARTHFILL,10,215,SIDE CHANNEL SPILLWAY,175,4,,IRRIGATION,VALSID INV (PTY) LTD,DEP.AGR. & DEVELOPMENT,ROCK-ORE (PTY) LTD.,3/23/1990,Small,Low,1,11/16/1988,A,,0,
D202/54,,MOPERI DAM,6,D22G,28,54,3,27,33,9,CLOCOLAN,1,CLOCOLAN,CLOCOLAN,FREE STATE,FREE STATE,1985,,MOPEDI,EARTHFILL,17,456,MULTI ARCH,1180,38,396,MUNICIPAL USE & INDUSTRIAL USE,SETSOTO LOCAL MUNICIPALITY,CAHI DE VRIES,PROP CONSTRUCTION,10/20/1999,Medium,Significant,2,8/9/1989,M,8/23/2010,2,5/31/2016
D202/55,,KLEINGELUK DAM,6,D23D,29,26,1,27,1,1,HOBHOUSE,23,KLEINGELUK 138,,FREE STATE,FREE STATE,0,,KOKO SPRUIT,EARTHFILL,10,230,OPEN CHANNEL,100,14,,IRRIGATION,STEYN H.P.C.,UNKNOWN,UNKNOWN,9/21/1987,Small,Low,1,2/25/1997,A,,0,
D202/56,,RADLEY DAM NO.2,6,D22G,28,44,1,27,38,1,CLOCOLAN,28,RADLEY 2,,FREE STATE,FREE STATE,1980,,MOPELI RIVER,EARTHFILL,9,180,FREE FALL (STRAIGHT DROP),160,6,,IRRIGATION,POOLE T.H.,STATE - DWA,J.J. TALJAARD,5/26/1989,Small,Low,1,3/14/1990,A,,0,
D202/57,,DIEPLAAGTE DAM,6,D22G,29,5,17.5,27,31,14.5,LADYBRAND,16,DIEPLAAGTE 393,LADYBRAND,FREE STATE,FREE STATE,1985,,BEITEL SPRUIT,EARTHFILL,7,100,INFORMATION NOT AVAILABLE,80,0,,IRRIGATION,COETZEE H.B.M.,LATEGAN A.J.,LATEGAN A.J.,9/4/1987,Small,Low,1,6/13/1994,A,,0,
D202/58,4733,STOFBERG DAM,6,D23C,29,10,34,27,15,57,LADYBRAND,27,DE SPRUIT 559,,FREE STATE,FREE STATE,1987,,LEEU RIVER TR.,EARTHFILL,7,620,INFORMATION NOT AVAILABLE,250,1.8,,IRRIGATION,STOFBERG D.J.,STATE (DWA),T.J. LATEGAN,6/25/1987,Small,Low,1,3/3/1997,A,,0,
D202/59,,GROENVLEI DAM,6,D22G,28,57,1,27,36,1,CLOCOLAN,8,RIETKUIL 204,,FREE STATE,FREE STATE,1982,,-,EARTHFILL,8,180,INFORMATION NOT AVAILABLE,200,0,,IRRIGATION,CHARLTON-PERKINS R.W.,UNKNOWN,UNKNOWN,12/15/1987,Small,Low,1,3/3/1997,A,,0,
D202/60,,JEVINGTON DAM,6,D23C,29,14,43.7,26,59,9.7,TWEESPRUIT,12,JEVINGTON,,FREE STATE,FREE STATE,1948,,-,EARTHFILL,11.7,440,SIDE CHANNEL SPILLWAY,300,13,,IRRIGATION,BAIRSTOW S.R.,UNKNOWN,UNKNOWN,12/2/1987,Small,Low,1,12/2/1987,A,,0,
D202/61,1958,KOPPIE-ALLEEN DAM,6,D22D,28,54,1,27,47,1,FICKSBURG,20,KOPJE ALLEEN 36,,FREE STATE,FREE STATE,1992,,CALEDON RIVER TR.,EARTHFILL,8,507,OPEN CHANNEL,259,9,,IRRIGATION,DEEMSTER (EDMS.) BPK.,PRIVAAT/DEP. LANDBOU,KOBUS SPAMER,7/27/1992,Small,Low,1,7/27/1988,A,,0,
D202/62,,WILGEDRAAINO.7-DAM,6,D23E,29,36,50.9,27,2,21.8,HOBHOUSE,15,WILGEDRAAI 226 PTN. 3 EN REM.,WEPENER,FREE STATE,FREE STATE,0,,CALEDON RIVER TR.,EARTHFILL,7,0,OPEN CHANNEL,450,3,,IRRIGATION,WILGEDRAAI (EDMS.) BPK.,UNKNOWN,UNKNOWN,9/27/1990,Small,Low,1,11/2/1990,A,,0,
D202/65,,WILGEDRAAINO.2-DAM,6,D23E,29,37,10.7,27,3,45.1,HOBHOUSE,15,WILGEDRAAI 226 PTN. 3 EB REM.,,FREE STATE,FREE STATE,0,,CALEDON RIVER TR.,EARTHFILL,6,0,OPEN CHANNEL,250,2,,IRRIGATION,WILGEDRAAI (EDMS.) BPK.,UNKNOWN,UNKNOWN,9/27/1990,Small,Low,1,11/2/1990,A,,0,
D202/66,,WILGEDRAAINO.1-DAM,6,D23E,29,36,47.4,27,3,40.7,HOBHOUSE,15,WILGEDRAAI 226,,FREE STATE,FREE STATE,0,,CALEDON RIVER TR.,EARTHFILL,12,0,SIDE CHANNEL SPILLWAY,1000,6,,IRRIGATION,WILGEDRAAI (EDMS.) BPK.,E.W. GREUNNOW,UNKNOWN,11/23/1990,Medium,Low,1,11/2/1990,A,,0,
D203/38,1628,ROLANDSECK DAM,6,D24C,30,3,17.8,26,53,20.4,VANSTADENSRUS,22,ROLANDSECK,,FREE STATE,FREE STATE,1925,,BLAASBALK SPRUIT,EARTHFILL,18,172,OPEN CHANNEL,5400,155,,IRRIGATION,BOTHA C.H.,J.J. SMITH,J.J. SMITH,11/14/1986,Medium,Significant,2,8/3/1988,A,6/9/2005,1,12/31/2010
D203/39,,KNELLPOORT DAM,6,D23J,29,46,53.9,26,53,19.4,WEPENER,15,KNELLPOORT 48,WEPENER,FREE STATE,FREE STATE,1989,,RIET SPRUIT,ARCH & GRAVITY,50,200,OGEE SPILLWAY,136900,977.4,766,MUNICIPAL USE & INDUSTRIAL USE,DEPT. OF WATER & SANITATION,OWNER,OWNER,11/1/1990,Large,High,3,4/16/1987,W,11/26/2012,4,
D203/44,,NOOITGEDACHT DAM,6,D23G,29,51,45.4,27,5,33.2,WEPENER,18,NOOITGEDACHT 208,NR,FREE STATE,FREE STATE,1966,,SAND SPRUIT TRB.,BUTTRESS & EARTHFILL,7.5,380,SIDE CHANNEL,400,25,,IRRIGATION,STRAUSS P.D.T.,OWNER,OWNER,11/16/1986,Small,Significant,2,9/12/2012,A,,0,7/31/2016
D203/45,5543,MERINOVLEY DAM,6,D23H,29,44,2.7,26,45,12.3,DEWETSDORP,25,MERINO VLEY 244,,FREE STATE,FREE STATE,1990,,RIET SPRUIT,EARTHFILL,9,110,OPEN CHANNEL,250,23,,IRRIGATION,SIMKIN C.H.W.,C.J.B. VISAGIE,A.J. PIENAAR,1/15/1990,Small,Low,1,7/26/1988,A,,0,
D203/46,,SCHOONFONTEIN DAM,6,D23H,29,48,3.2,26,48,8.6,WEPENER,35,SCHOONFONTEIN 422,WEPENER,FREE STATE,FREE STATE,0,,-,EARTHFILL,7,220,OPEN CHANNEL,127,5,,IRRIGATION,DE WET L.P.,UNKNOWN,UNKNOWN,3/11/1998,Small,Low,1,6/18/1998,A,,0,
D203/47,,BEKKERSKRAAL DAM,6,D23H,29,43,14,26,40,59.3,DEWETSDORP,10,BEKKERSKRAAL 150,DEWETSDORP,FREE STATE,FREE STATE,1990,,RIET SPRUIT,EARTHFILL,6,0,FREE FALL (STRAIGHT DROP),500,0,,IRRIGATION,BADENHORST C.J.,STATE - DWA,COETZER KONSTRUKSIE,9/7/1990,Small,Low,1,8/10/1988,A,,0,
D203/48,,PLATKOP DAM,6,D23H,29,43,26,26,43,15.7,DEWETSDORP,21,PLATKOP 115,DEWETSDORP,FREE STATE,FREE STATE,1990,,RIET SPRUIT,BUTTRESS & EARTHFILL,6,100,OPEN CHANNEL,1500,80,,IRRIGATION,BADENHORST C.J.,P.J. BADENHORST,COETZER KONSTRUKSIE,9/7/1990,Small,Low,1,8/10/1988,A,,0,
D203/52,,FAIRIEDALE DAM,6,D24C,29,57,1,26,58,1,WEPENER,24,FAIRIEDALE 34,,FREE STATE,FREE STATE,1903,,-,EARTHFILL,7,60,OPEN CHANNEL,100,6,,STOCK WATERING,CHRISTIE J.M.,UNKNOWN,UNKNOWN,3/8/1988,Small,Low,1,2/25/1997,A,,0,
D203/53,,ABOUKIR DAM,6,D24B,30,11,1,27,7,1,ZASTRON,15,ABOUKIR 192,,FREE STATE,FREE STATE,1965,,KLIP SPRUIT TR.,EARTHFILL,8,235,OPEN CHANNEL,400,23,,IRRIGATION,VAN HASSELT T.R.,UNKNOWN,UNKNOWN,11/2/1987,Small,Low,1,4/21/1997,A,,0,
D203/54,6773,PELSTERSKRAAL DAM,6,D23H,29,42,40,26,44,30,DEWETSDORP,22,PELSTERS KRAAL 116,,FREE STATE,FREE STATE,1984,,RIET SPRUIT TR.,EARTHFILL,9,475,OPEN CHANNEL,250,21,,IRRIGATION,MYBURGH J.A.,STATE - DWW,PAUL VISSER,4/28/1988,Small,Low,1,6/30/1988,A,,0,
D203/56,,RUIGTEFONTEIN DAM,6,D23H,29,46,30,26,42,43.8,DEWETSDORP,21,RUIGTEFONTEIN 112,DEWETSDORP,FREE STATE,FREE STATE,1972,,RIET SPRUIT,EARTHFILL,5,450,SIDE CHANNEL SPILLWAY,150,21,,IRRIGATION,HOFFMAN J.M.,UNKNOWN,A.J. PIENAAR,10/20/1989,Small,Low,1,11/16/1988,A,,0,
D203/57,,ONVERWACHT130 DAM,6,D23H,29,47,46.7,26,48,19.7,WEPENER,33,ONVERWACHT 130,WEPENER,FREE STATE,FREE STATE,1930,,-,EARTHFILL,7,120,OPEN CHANNEL,70,3,,IRRIGATION,DE WET L.P.,UNKNOWN,UNKNOWN,4/3/1988,Small,Low,1,7/27/1988,A,,0,
D203/58,,OLIVEWOODPARK DAM,6,D23J,29,39,1,26,54,1,WEPENER,40,OLIVEWOOD PARK,,FREE STATE,FREE STATE,0,,-,EARTHFILL,7,200,OPEN CHANNEL,70,3,,IRRIGATION,WILKEN O.A.,UNKNOWN,UNKNOWN,7/18/1989,Small,Low,1,10/5/1988,A,,0,
D203/60,,BLAAUWFONTEINBIG DAM,6,D23H,29,44,55.1,26,39,43.6,DEWETSDORP,20,BLAAUWFONTEIN 303,DEWETSDORP,FREE STATE,FREE STATE,1989,,RIET SPRUIT TR.,EARTHFILL,5,260,SIDE CHANNEL SPILLWAY,117,1,,IRRIGATION,DE BEER J.M.,OWNER,ABEL J. PIENAAR,4/26/1989,Small,Low,1,9/29/1988,A,,0,
D203/61,,LAVINIA DAM,6,D23J,29,43,45,26,55,1,WEPENER,10,LAVINIA 340,,FREE STATE,FREE STATE,1982,,CALEDON RIVER TR.,EARTHFILL,5,0,INFORMATION NOT AVAILABLE,53,3,,IRRIGATION,SMITH C.,UNKNOWN,ABEL PIENAAR,9/7/1990,Small,Low,1,8/1/1988,A,,0,
D203/62,,MOSAIEK-GROOT DAM,6,D23H,29,43,55,26,52,1,WEPENER,20,GROOTE DAM 327,,FREE STATE,FREE STATE,1945,,RIET SPRUIT TR.,EARTHFILL,11,73,INFORMATION NOT AVAILABLE,67,5,,IRRIGATION,DU TOIT G.J.P.,UNKNOWN,UNKNOWN,8/29/1988,Small,Low,1,4/27/1992,A,,0,
D203/65,,VOEL DAM,6,D24C,29,55,13,26,50,43,WEPENER,43,WELDAM 559,,FREE STATE,FREE STATE,1995,,CALEDON RIVER TR,EARTHFILL,7,295,OPEN CHANNEL,117,6,,INFORMATION NOT AVAILABLE,BLOEM WATER BOARD,NINHAM SHAND (SENTRAAL) ING.,D.J. ADAM KONSTRUKSIE,5/29/1995,Small,Low,1,3/19/1992,B,,0,
D203/66,,SEBELLA DAM,6,D23J,29,40,50,26,56,30,WEPENER,12,SABELLA 362,,FREE STATE,FREE STATE,1987,,CALEDON RIVER TR.,EARTHFILL,6,450,INFORMATION NOT AVAILABLE,250,17,,IRRIGATION,GROENEWALD C.C.,STATE - DWA,UNKNOWN,11/2/1992,Small,Low,1,4/25/1997,A,,0,
D203/69,,ROKEBY DAM,6,D23G,29,47,55.9,27,4,35.7,WEPENER,14,ROKEBY 71,,FREE STATE,FREE STATE,1962,,,EARTHFILL,9,150,INFORMATION NOT AVAILABLE,259,8,,STOCK WATERING,CALITZ P.H.,LANDBOU TEGNIESE DIENSTE,OWNER,11/24/1997,Small,Significant,2,1/22/1998,A,,0,3/31/2016
D203/70,,BLOU DAM,6,D23G,29,46,55,27,3,10,WEPENER,0,KRUISPOORT 44 RESTANT,,FREE STATE,FREE STATE,0,,,EARTHFILL,7,110,INFORMATION NOT AVAILABLE,140,8,,STOCK WATERING,PADT J.M.,UNKNOWN,UNKNOWN,11/24/1997,Small,Low,1,1/22/1998,A,,0,
D203/71,2603,ELDERSLEA DAM,6,D23J,29,46,40,26,59,5,WEPENER,7,ELDERSLEA 31 RESTANT,,FREE STATE,FREE STATE,0,,CALEDON RIVER TR.,EARTHFILL,5,150,SIDE CHANNEL SPILLWAY,170,8,,IRRIGATION,VAN AARDT F.J.,UNKNOWN,UNKNOWN,3/11/1998,Small,Low,1,6/18/1998,A,,0,
D203/72,,DRIEKOP DAM,6,D24C,29,54,25,26,48,30,WEPENER,35,DRIEKOP 508,,FREE STATE,FREE STATE,0,,CALEDON RIVER TR.,EARTHFILL,6,100,INFORMATION NOT AVAILABLE,90,5,,INFORMATION NOT AVAILABLE,JACOBS S.W.W.,UNKNOWN,UNKNOWN,3/11/1998,Small,Low,1,6/18/1998,A,,0,
D203/73,7988,CEYLON DAM,6,D23J,29,47,43,26,53,0,WEPENER,30,CEYLON 290 RESTANT,,FREE STATE,FREE STATE,0,,RIET SPRUIT TR.,EARTHFILL,7,200,INFORMATION NOT AVAILABLE,114,5,,IRRIGATION,OOSTHUIZEN  J.H.,UNKNOWN,UNKNOWN,3/11/1998,Small,Low,1,3/25/1998,A,,0,
D203/74,,BONHILL DAM,6,D23J,29,55,40,27,0,10,VAN STADENSRUS,10,BONHILL 58,,FREE STATE,FREE STATE,0,,,EARTHFILL,6,250,INFORMATION NOT AVAILABLE,420,17,,INFORMATION NOT AVAILABLE,WESSELS J.B.,UNKNOWN,UNKNOWN,3/11/1998,Small,Low,1,6/1/2004,A,,0,
D203/75,,SWEETWATER DAM,6,D23J,29,54,30,26,59,50,WEPENER,22,SWEETWATER 77 RESTANT,,FREE STATE,FREE STATE,0,,,EARTHFILL,6,150,FREE FALL (STRAIGHT DROP),373,16,,IRRIGATION,INGRAM B.P.,UNKNOWN,UNKNOWN,3/11/1998,Small,Low,1,12/21/2004,A,,0,
D203/76,428,MENTORSKRAAL DAM,6,D24C,29,57,40,26,50,55,WEPENER,45,MENTORSKRAAL 509 RESTANT,,FREE STATE,FREE STATE,0,,CALEDON RIVER TR.,EARTHFILL,9,180,INFORMATION NOT AVAILABLE,218,6,,IRRIGATION,JACOBS R.,UNKNOWN,UNKNOWN,3/11/1998,Small,Low,1,6/18/1998,A,,0,
D203/77,,BALMACARA DAM,6,D23G,29,55,29.4,27,9,10.5,VAN STADENSRUS,15,BALMACARA  14,WEPENER,FREE STATE,FREE STATE,,,,EARTHFILL,6.8,300,,410,15,0,,CALITZ HC,,,12/19/2012,Small,Significant,2,12/19/2012,A,,0,
D203/78,4988,BUSHMANSHOEK DAM - see also D203/55,6,D23J,29,53,36.7,26,55,18.3,WEPENER,24,BUSHMANSHOEK 16,WEPENER,FREE STATE,FREE STATE,,,,EARTHFILL,10,200,,2238,57,,IRRIGATION,BUSHMANSHOEK FARMING CC.,UNKNOWN,UNKNOWN,1/7/1999,Small,Low,1,2/2/2006,A,,0,
D203/79,,DALEDON DOWNS DAM,6,D23J,29,48,20,27,0,58,WEPENER,10,DALEDON DOWNS,WEPENER,FREE STATE,FREE STATE,,,NUWEJAARSPRUIT,EARTHFILL,9,550,,819,,,IRRIGATION,BEZUIDENHOUT G.J.P.,UNKNOWN,UNKNOWN,1/7/1999,Small,Low,1,5/23/2005,A,,0,
D203/80,,DAYLESFORD DAM,6,D23J,29,53,17.1,26,57,53.8,WEPENER,20,DAYLESFORD 24,WEPENER,FREE STATE,FREE STATE,,,,EARTHFILL,11.5,150,,412,10,,,BUSHMANSHOEK FARMING CC.,UNKNOWN,UNKNOWN,1/7/1999,Small,Low,1,1/31/2006,A,,0,
D203/83,,NOOITGEDACHT DAM NO 2,6,D23G,29,51,25.8,27,5,18.6,WEPENER,18,NOOITGEDACHT 208,WEPENER,FREE STATE,FREE STATE,,,,EARTHFILL,6.5,300,,161,7.5,,,STRAUSS C.,UNKNOWN,UNKNOWN,1/7/1999,Small,Low,1,3/8/2006,A,,0,
D203/84,0,OLIVEWOODPARK,6,D24C,29,58,30,26,54,40,VAN STANDRUS,15,63 OLIVEWOODPARK,WEPENER,FREE STATE,FREE STATE,,,,EARTHFILL,8.3,198,,152,5.6,0,,HAMBURG EIENDOMS TRUST,,,1/7/1999,Small,Low,1,7/20/2009,A,,0,
D203/85,,SCHAAPKRAAL DAM,6,D23J,29,50,6.8,27,0,21,WEPENER,15,SCHAAPKRAAL 79,,FREE STATE,FREE STATE,,,,EARTHFILL,5,300,,168,10,,,MADRI GROBBELAAT TRUST,UNKNOEN,UNKNWN,1/7/1999,Small,Low,1,5/23/2005,A,,0,
D203/86,,VLAKPLAATS,6,D23J,29,53,20,26,53,20,WEPENER,23,VLAKPLAATS 90,WEPENER,FREE STATE,FREE STATE,,,,EARTHFILL,8,300,,227,9,,IRRIGATION,GROBBELAAR P.S.,UNKNOWN,UNKNOWN,1/7/1999,Small,Low,1,5/23/2005,A,,0,
D203/88,,BOKPOORT DAM,6,D23E,29,35,31,27,0,5,WEPENER,33,BOKPOORT 02,WEPENER,FREE STATE,FREE STATE,1972,,BOKPOORT SPRUIT,EARTHFILL,6,400,SIDE CHANNEL,261,0,,IRRIGATION,SMITH A.H.,UNKNOWN,UNKNOWN,6/15/2001,Small,Low,1,3/8/2002,A,,0,4/30/2004
D203/89,,WONDERBOOM,6,D23J,29,48,30,27,2,40,WEPENER,12,,WEPENER,FREE STATE,FREE STATE,1959,,,EARTHFILL,5,0,INFORMATION NOT AVAILABLE,80,0,,INFORMATION NOT AVAILABLE,WONDERBOOM FAMILY TRUST,UNKNOWN,UNKNOWN,2/21/2001,Small,Low,1,9/3/2007,A,,0,
D203/90,,AANVANG,6,D23F,29,39,34.6,26,59,11,WEPENER,14,AANVANG (FARM)  NO.1.,WEPENER,FREE STATE,FREE STATE,1954,,AANVANGSPRUIT,EARTHFILL,5.5,285,,199,0,,IRRIGATION,WONDERHOEK FARMS (PTY) LTD.,PADT. A.F.,PADT. A.F.,9/19/2005,Small,Significant,2,12/20/2004,A,,0,9/30/2013
D204/44,,KALKHOEK,6,D24F,30,14,47,26,57,51.3,RICHMOND,40,ZOETE VALEY 115,,FREE STATE,FREE STATE,1963,,CALEDON TR.,EARTHFILL,16,307,SWAARTEKRAGDAM - BETON,1300,22,,IRRIGATION,SWANEPOEL P.J.,RUBIDGE C.J. & F.A.,PREVIOUS OWNER,5/5/1987,Medium,Significant,2,12/11/1992,A,12/10/2000,2,9/30/2009
D204/45,,GROENFONTEIN-SE DAM,6,D24H,30,13,1,26,34,1,SMITHFIELD,3,GROENFONTEIN 201,,FREE STATE,FREE STATE,1944,,GROEN SPRUIT TR.,EARTHFILL,7,205,OPEN CHANNEL,250,2,,IRRIGATION,SWANEPOEL H.F.,OWNER,UNKNOWN,11/18/1986,Small,Low,1,5/19/1997,A,,0,
D204/46,,WESSELSRUST,6,D24D,29,55,37.7,26,42,40.9,DE WETSDORP,42,MIERFONTEIN 171 & WESSELS RUST 8,SMITHFIELD,FREE STATE,FREE STATE,1991,,WILGEBOOM SPRUIT,EARTHFILL,11,270,OPEN CHANNEL,250,2,,IRRIGATION,VON MALTITZ & JOUBERT (EDMS.) BPK.,C.J.B. VISAGIE (MVD),HENNING KONSTRUKSIE,10/15/1991,Small,Low,1,11/8/1989,A,,0,
D204/47,2588,WITKOP DAM,6,D24D,29,52,26.1,26,41,46.7,DE WETSDORP,33,WASCHBANK 129 (WITKOP),DEWETSDORP,FREE STATE,FREE STATE,1987,,WILGEBOOM SPRUIT TR.,EARTHFILL,9,290,OPEN CHANNEL,250,8,,IRRIGATION,MENTZ J.D.E.K.,STATE - DWA,OWNER,1/20/1987,Small,Low,1,3/15/1990,A,,0,
D204/48,2423,DONKERPOORT SCHEME DAM,6,D24K,30,7,59.1,26,5,18.6,TROMPSBURG,34,DONKERPOORT 88,TROMPSBURG,FREE STATE,FREE STATE,1963,,SLYK SPRUIT TR.,ARCH,10,56,OGEE,320,15,,IRRIGATION,VAN DER MERWE G.A.,GOLLIE NIEWENHUIZEN,GOLLIE NIEWENHUIZEN,11/9/1986,Small,Significant,2,5/19/1997,A,9/2/2002,1,9/30/2015
D204/49,,ALBERT DAM,6,D24J,30,27,40,26,32,20,ROUXVILLE,29,ALBERT 896,,FREE STATE,FREE STATE,1952,,CALEDON RIVER TR.,EARTHFILL,6,100,OPEN CHANNEL,75,0,,IRRIGATION,FOURIE P.J.V.,DEPT. LANDBOU-ONTWIKKELING,WYLE APIE MAREE & OOSTHUIZEN,10/30/1986,Small,Low,1,5/27/1998,A,,0,
D204/51,113,GANSPOORT,6,D24L,30,21,1,26,6,1,BETHULIE,27,GANSPOORT 107,,FREE STATE,FREE STATE,1988,,SLYK SPRUIT TR.,EARTHFILL,10,450,OPEN CHANNEL,200,0,,IRRIGATION,TERREBLANCHE H.I.,UNKNOWN,UNKNOWN,4/8/1988,Small,Low,1,4/29/1997,A,,0,
D204/53,413,FRANKFORT-ROOI,6,D24D,30,1,42.2,26,43,26.2,SMITHFIELD,30,FRANKFORT 370,SMITHFIELD,EASTERN CAPE,FREE STATE,1905,,CALEDON RIVER TR.,EARTHFILL,8,280,OPEN CHANNEL,280,9,,IRRIGATION,ARIE CONRADIE TRUST,V.D. RYST C.,OWNER,7/24/1989,Small,Low,1,7/4/1988,A,,0,
D204/54,3068,MONTAGU,6,D24H,30,9,122.6,26,24,58.7,SMITHFIELD,17,MONTAGU 539,SMITHFIELD,FREE STATE,FREE STATE,1940,,SKULP SPRUIT TR.,EARTHFILL,6,500,INFORMATION NOT AVAILABLE,110,15,,IRRIGATION,SMITH P.W.,UNKNOWN,B. VAN SCHALKWYK,8/22/1989,Small,Low,1,8/22/1988,A,,0,
D204/55,,KRABFONTEIN,6,D24G,30,24,43.3,26,46,50.3,ROUXVILLE,6,KRABFONTEIN 1071,ROUXVILLE,FREE STATE,FREE STATE,0,,KLEINSPRUIT,EARTHFILL,7,0,INFORMATION NOT AVAILABLE,65,0,,IRRIGATION,GOOSEN H.P.,GEBREEK,,10/5/1988,Small,Low,1,10/5/1988,A,,0,
